deputy_id,nom,prenom,groupe_abrev,groupe_nom,parti_rattachement,dept,circo,period_start,period_end,scrutins_eligibles,votes_exprimes,non_votant,absent,participation_rate,pour_count,contre_count,abst_count,amd_authored,amd_adopted,amd_adoption_rate,amd_cosigned,interventions_count,interventions_chars,top_dossier_id,top_dossier_titre,top_dossier_score
PA795010,Garin,Marie-Charlotte,ECOS,Écologiste et Social,Les Écologistes - EELV,Rhône,3,2024-06-30,2026-02-27,5799,1726,0,4073,0.2976,916,709,101,295,40,0.1356,9785,0,0,,,
PA795026,Violland,Anne-Cécile,HOR,Horizons & Indépendants,Horizons,Haute-Savoie,5,2024-07-07,2026-02-27,5799,1289,0,4510,0.2223,415,772,102,83,8,0.0964,1033,0,0,,,
PA795046,Yadan,Caroline,EPR,Ensemble pour la République,Ensemble ! (majorité présidentielle),Français établis hors de France,8,2024-07-07,2026-02-27,5799,1209,0,4590,0.2085,363,829,17,107,20,0.1869,866,0,0,,,
PA795050,Panosyan-Bouvet,Astrid,EPR,Ensemble pour la République,Ensemble ! (majorité présidentielle),Paris,4,2024-07-07,2026-02-27,5799,338,5,5456,0.0583,140,182,16,4,0,0.0000,136,0,0,,,
PA795076,Rousseau,Sandrine,ECOS,Écologiste et Social,Les Écologistes - EELV,Paris,9,2024-06-30,2026-02-27,5799,2214,0,3585,0.3818,1042,1079,93,412,64,0.1553,9696,0,0,,,
PA795084,Arenas,Rodrigo,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Paris,10,2024-06-30,2026-02-27,5799,863,0,4936,0.1488,404,417,42,55,5,0.0909,14189,0,0,,,
PA795100,Martineau,Éric,DEM,Les Démocrates,Ensemble ! (majorité présidentielle),Sarthe,3,2024-07-07,2026-02-27,5799,2828,0,2971,0.4877,902,1803,123,75,14,0.1867,912,0,0,,,
PA795108,Leboucher,Élise,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Sarthe,4,2024-07-07,2026-02-27,5799,2802,0,2997,0.4832,1284,1390,128,674,97,0.1439,13655,0,0,,,
PA795124,Padey,Didier,DEM,Les Démocrates,Ensemble ! (majorité présidentielle),Savoie,1,2024-07-07,2026-02-27,5799,249,0,5550,0.0429,97,145,7,7,0,0.0000,367,0,0,,,
PA795136,Coulomme,Jean-François,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Savoie,4,2024-07-07,2026-02-27,5799,3056,0,2743,0.5270,1569,1307,180,338,19,0.0562,13911,0,0,,,
PA795144,Armand,Antoine,EPR,Ensemble pour la République,Ensemble ! (majorité présidentielle),Haute-Savoie,2,2024-07-07,2026-02-27,5799,753,5,5041,0.1298,198,520,35,84,49,0.5833,364,0,0,,,
PA795156,Keloua Hachi,Fatiha,SOC,Socialistes et apparentés,Parti socialiste,Seine-Saint-Denis,8,2024-07-07,2026-02-27,5799,1270,0,4529,0.2190,610,605,55,156,31,0.1987,5103,0,0,,,
PA795164,Trouvé,Aurélie,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Seine-Saint-Denis,9,2024-06-30,2026-02-27,5799,1423,0,4376,0.2454,661,717,45,104,26,0.2500,14105,0,0,,,
